United States,"Jan 8, 2022","15,125","Aug 29, 2024"
United States,"Jan 1, 2022","11,677","Aug 29, 2024"
United States,"Dec 25, 2021","10,458","Aug 29, 2024"
United States,"Dec 18, 2021","10,250","Aug 29, 2024"
United States,"Dec 11, 2021","9,734","Aug 29, 2024"
United States,"Dec 4, 2021","8,781","Aug 29, 2024"
United States,"Nov 27, 2021","7,886","Aug 29, 2024"
United States,"Nov 20, 2021","7,310","Aug 29, 2024"
United States,"Nov 13, 2021","7,159","Aug 29, 2024"
United States,"Nov 6, 2021","7,287","Aug 29, 2024"
United States,"Oct 30, 2021","7,960","Aug 29, 2024"
United States,"Oct 23, 2021","8,941","Aug 29, 2024"
United States,"Oct 16, 2021","9,878","Aug 29, 2024"
United States,"Oct 9, 2021","11,180","Aug 29, 2024"
United States,"Oct 2, 2021","12,830","Aug 29, 2024"
United States,"Sep 25, 2021","14,347","Aug 29, 2024"
United States,"Sep 18, 2021","15,211","Aug 29, 2024"
United States,"Sep 11, 2021","15,417","Aug 29, 2024"
United States,"Sep 4, 2021","15,493","Aug 29, 2024"
United States,"Aug 28, 2021","14,174","Aug 29, 2024"
United States,"Aug 21, 2021","12,181","Aug 29, 2024"
United States,"Aug 14, 2021","9,406","Aug 29, 2024"
United States,"Aug 7, 2021","6,484","Aug 29, 2024"
United States,"Jul 31, 2021","4,105","Aug 29, 2024"
United States,"Jul 24, 2021","2,760","Aug 29, 2024"
United States,"Jul 17, 2021","1,991","Aug 29, 2024"
United States,"Jul 10, 2021","1,645","Aug 29, 2024"
United States,"Jul 3, 2021","1,543","Aug 29, 2024"
United States,"Jun 26, 2021","1,635","Aug 29, 2024"
United States,"Jun 19, 2021","1,776","Aug 29, 2024"
United States,"Jun 12, 2021","2,035","Aug 29, 2024"
United States,"Jun 5, 2021","2,347","Aug 29, 2024"
United States,"May 29, 2021","2,770","Aug 29, 2024"
United States,"May 22, 2021","3,238","Aug 29, 2024"
United States,"May 15, 2021","3,678","Aug 29, 2024"
United States,"May 8, 2021","4,006","Aug 29, 2024"
United States,"May 1, 2021","4,165","Aug 29, 2024"
United States,"Apr 24, 2021","4,601","Aug 29, 2024"
United States,"Apr 17, 2021","4,450","Aug 29, 2024"
United States,"Apr 10, 2021","4,313","Aug 29, 2024"
United States,"Apr 3, 2021","4,197","Aug 29, 2024"
United States,"Mar 27, 2021","4,461","Aug 29, 2024"
United States,"Mar 20, 2021","4,893","Aug 29, 2024"
United States,"Mar 13, 2021","5,725","Aug 29, 2024"
United States,"Mar 6, 2021","6,731","Aug 29, 2024"
United States,"Feb 27, 2021","8,654","Aug 29, 2024"
United States,"Feb 20, 2021","10,807","Aug 29, 2024"
United States,"Feb 13, 2021","13,519","Aug 29, 2024"
United States,"Feb 6, 2021","17,034","Aug 29, 2024"
United States,"Jan 30, 2021","20,322","Aug 29, 2024"
United States,"Jan 23, 2021","23,687","Aug 29, 2024"
United States,"Jan 16, 2021","25,692","Aug 29, 2024"
United States,"Jan 9, 2021","25,974","Aug 29, 2024"
United States,"Jan 2, 2021","24,845","Aug 29, 2024"
United States,"Dec 26, 2020","23,364","Aug 29, 2024"
United States,"Dec 19, 2020","22,314","Aug 29, 2024"
United States,"Dec 12, 2020","20,913","Aug 29, 2024"
United States,"Dec 5, 2020","18,545","Aug 29, 2024"
United States,"Nov 28, 2020","15,615","Aug 29, 2024"
United States,"Nov 21, 2020","13,343","Aug 29, 2024"
United States,"Nov 14, 2020","10,644","Aug 29, 2024"
United States,"Nov 7, 2020","8,754","Aug 29, 2024"
United States,"Oct 31, 2020","7,019","Aug 29, 2024"
United States,"Oct 24, 2020","5,990","Aug 29, 2024"
United States,"Oct 17, 2020","5,195","Aug 29, 2024"
United States,"Oct 10, 2020","4,813","Aug 29, 2024"
United States,"Oct 3, 2020","4,240","Aug 29, 2024"
United States,"Sep 26, 2020","4,296","Aug 29, 2024"
United States,"Sep 19, 2020","4,273","Aug 29, 2024"
United States,"Sep 12, 2020","4,618","Aug 29, 2024"
United States,"Sep 5, 2020","5,010","Aug 29, 2024"
United States,"Aug 29, 2020","5,739","Aug 29, 2024"
United States,"Aug 22, 2020","6,374","Aug 29, 2024"
United States,"Aug 15, 2020","7,248","Aug 29, 2024"
United States,"Aug 8, 2020","7,848","Aug 29, 2024"
United States,"Aug 1, 2020","8,285","Aug 29, 2024"
United States,"Jul 25, 2020","8,229","Aug 29, 2024"
United States,"Jul 18, 2020","7,166","Aug 29, 2024"
United States,"Jul 11, 2020","5,770","Aug 29, 2024"
United States,"Jul 4, 2020","4,540","Aug 29, 2024"
United States,"Jun 27, 2020","3,835","Aug 29, 2024"
United States,"Jun 20, 2020","3,844","Aug 29, 2024"
United States,"Jun 13, 2020","4,227","Aug 29, 2024"
United States,"Jun 6, 2020","5,046","Aug 29, 2024"
United States,"May 30, 2020","6,160","Aug 29, 2024"
United States,"May 23, 2020","7,229","Aug 29, 2024"
United States,"May 16, 2020","9,229","Aug 29, 2024"
United States,"May 9, 2020","11,223","Aug 29, 2024"
United States,"May 2, 2020","13,200","Aug 29, 2024"
United States,"Apr 25, 2020","15,525","Aug 29, 2024"
United States,"Apr 18, 2020","17,201","Aug 29, 2024"
United States,"Apr 11, 2020","16,306","Aug 29, 2024"
United States,"Apr 4, 2020","10,113","Aug 29, 2024"
United States,"Mar 28, 2020","3,211","Aug 29, 2024"
United States,"Mar 21, 2020",586,"Aug 29, 2024"
United States,"Mar 14, 2020",60,"Aug 29, 2024"
United States,"Mar 7, 2020",38,"Aug 29, 2024"
United States,"Feb 29, 2020",9,"Aug 29, 2024"
United States,"Feb 22, 2020",6,"Aug 29, 2024"
United States,"Feb 15, 2020",6,"Aug 29, 2024"
United States,"Feb 8, 2020",4,"Aug 29, 2024"
United States,"Feb 1, 2020",0,"Aug 29, 2024"
United States,"Jan 25, 2020",3,"Aug 29, 2024"
United States,"Jan 18, 2020",2,"Aug 29, 2024"
United States,"Jan 11, 2020",1,"Aug 29, 2024"
